name,device_role,tenant,manufacturer,model_name,platform,serial,asset_tag,status,site,rack_group,rack_name,position,face,comments
01,Access Switch,,Dell,N2048,,,,Active,Biltmore Suite 770 Server Room,,TelCo-Rack2,37,Front,
4B82HH2,Server,,Dell,R630,,4B82HH2,,Active,NAP Cage 1,,R2-01,,,
4XN9T52,Server,Buckalew,Dell,R620,,4XN9T52,,Active,Biltmore Suite 500 Server Room,,CS,19,Front,"LOM = 10.20.11.51
listed as "cs-support-lab-003-homer001"
05,Access Switch,,Dell,N2048,,,,Active,Biltmore Suite 770 Server Room,,TelCo-Rack2,25,Front,
06,Access Switch,,Dell,N2048,,,,Active,Biltmore Suite 770 Server Room,,TelCo-Rack2,30,Front,
07,Access Switch,,Dell,N2048,,,,Active,Biltmore Suite 770 Server Room,,TelCo-Rack2,39,Front,
08,Access Switch,,Dell,N2048,,,,Active,Biltmore Suite 770 Server Room,,TelCo-Rack2,42,Front,
09,Access Switch,,Dell,N2048,,,,Active,Biltmore Suite 770 Server Room,,TelCo-Rack3,42,Front,
9Q490Q2,Server,,Dell,R640,,9Q490Q2,9Q490Q2,Active,NAP Cage 1,,R2-R5,26,Front,
9Q4B0Q2,Server,,Dell,R640,,9Q4B0Q2,9Q4B0Q2,Active,NAP Cage 1,,R2-R5,27,Front,
9Q4LRP2,Server,,Dell,R640,,9Q4LRP2,9Q4LRP2,Active,NAP Cage 1,,R2-R5,25,Front,
9Q4MRP2,Server,,Dell,R640,,9Q4MRP2,9Q4MRP2,Active,NAP Cage 1,,R2-R5,24,Front,
10,Access Switch,,Dell,N2048,,,,Active,Biltmore Suite 770 Server Room,,TelCo-Rack3,36,Front,
10.0.1.150,Server,,Dell,R620,Linux,CW8QZ12,,Active,Biltmore Suite 770 Server Room,,Floor 7 Rack 1,28,Front,
11,Access Switch,,Dell,N2048,,,,Active,Biltmore Suite 770 Server Room,,TelCo-Rack3,26,Front,
12,Access Switch,,Dell,N2048,,,,Active,Biltmore Suite 770 Server Room,,TelCo-Rack3,22,Front,
13KSR22,Server,,Dell,R320,,13KSR22,13KSR22,Inventory,NAP Cage 1,,R2-R5,31,Front,
128t-lab-cc,Server,,Dell,R620,,385X8Z1,385X8Z1,Active,NAP Cage 1,,R1-05,32,Front,LOM 10.141.8.72
184Q082,Server,,Dell,R320,,184Q082,184Q082,Inventory,NAP Cage 1,,R2-R5,30,Front,Device is powered off 10/4/18 - CDA
460-1,Access Switch,Carrier Platform,Extreme,X460-G2,Linux,,,Active,Equinix Silicon Valley,,002035,31,Rear,
620 201505,Server,,Dell,R620,,8JTWD42,,Active,Biltmore Suite 500 Server Room,,DevOps,19,Front,LOM = 10.20.11.145
9450-0,Core Switch,Carrier Platform,Brocade,SLX-9540-48S,Brocade-OS,FDK3809P002,,Active,Equinix Silicon Valley,,002035,42,Rear,
9540-1,Core Switch,Carrier Platform,Brocade,SLX-9540-48S,Brocade-OS,FDK3809P004,,Active,Equinix Silicon Valley,,002035,41,Rear,
Airavat,Server,,Dell,T430,,,,Active,Biltmore Suite 770 Server Room,,TelCo-Rack3,,,This is a Dell T110 Tower server
apcon,Server,,Apcon,ACI-3072-XR,,72120079 R3 031416,,Active,NAP Cage 1,,R1-03,40,Front,
apic1,APIC Management,,Cisco,APIC-SERVER-M2,,FCH2037V3RZ,d7360eea-b583-11e6-a14e-91e59abc086c,Active,NAP Cage 1,,R1-01,33,Front,
apic2,APIC Management,,Cisco,APIC-SERVER-M2,,FCH2008V0WH,1cec8a5a-bdee-11e6-9036-4933778c9c49,Active,NAP Cage 1,,R1-01,32,Front,
apic3,APIC Management,,Cisco,APIC-SERVER-M2,,FCH2037V3UK,024b6faa-b564-11e6-8f58-0d96d851aa3e,Active,NAP Cage 1,,R1-01,31,Front,
APIC LAB 00,Server,,Cisco,APIC-SERVER-M2,,FCH2129VIND,,Active,NAP Cage 1,,R1-06,33,Front,
Arivat,Server,,Dell,PowerEdge T110,,CHKP5P1,27184079125,Active,Biltmore Suite 770 Server Room,,TelCo-Rack1,,,"Super Micro Desktop platform, behind the Telco Racks"
ATLAD01,Server,,Dell,R320,,4NB1382,,Active,Biltmore Suite 500 Server Room,,DevOps,35,Front,LOM = 10.20.10.216
ATLAD00 - Veem Recovery,Server,,Dell,R320,,c5jys52,,Active,Biltmore Suite 770 Server Room,,Floor 7 Rack 2,36,Front,"This was the former ATLAD00.
Currently booted into Veem recovery."
ATLASA00,Firewall,,Cisco,ASA5516-x,,,,Active,Biltmore Suite 770 Server Room,,TelCo-Rack2,32,Front,
ATLASAC00,Firewall,,Cisco,ASA5508-X,,,,Active,Biltmore Suite 770 Server Room,,TelCo-Rack2,31,Front,
atlesxfps01,Server,,Dell,R620,,j50fbz1,,Active,Biltmore Suite 770 Server Room,,Floor 7 Rack 1,32,Front,
ATLESXi01,Server,,Dell,R330,,BGXFQD2,,Active,Biltmore Suite 800 Server Room,,F8-IT-Rack,38,Front,LOM = 10.20.10.228
atlesxicd,Server,,Super Micro,8x2.5 Inch Bays (1U),Linux,,,Active,Biltmore Suite 770 Server Room,,Floor 7 Rack 1,30,Front,
atlesxics00,Virtualization Host,,Dell,R620,ESXi 5.5,4prvhx1,,Active,Biltmore Suite 770 Server Room,,Floor 7 Rack 2,21,Front,"LCD does not update, only ST displayed"
atlesxiit00,Virtualization Host,,Dell,R320,ESXi 6.0,13krr22,,Active,Biltmore Suite 770 Server Room,,Floor 7 Rack 2,34,Front,
atlesxiivr00,Virtualization Host,,Dell,R320,Linux,cw6qz12,,Active,Biltmore Suite 770 Server Room,,Floor 7 Rack 1,20,Front,LOM = 10.20.10.226
atlesxiivr01,Virtualization Host,,Dell,R620,,FTZTL02,,Active,Biltmore Suite 770 Server Room,,Floor 7 Rack 1,27,Front,
atlesxiops00,Virtualization Host,,Super Micro,12x3.5 Inch Bays (2U),ESXi 5.5,,,Active,Biltmore Suite 770 Server Room,,Floor 7 Rack 2,22,Front,
atlesxiops02,Virtualization Host,,Super Micro,8x2.5 Inch Bays (1U),ESXi 5.0,SM,,Active,Biltmore Suite 770 Server Room,,Floor 7 Rack 1,21,Front,
ATLESXIOPS01,Server,Buckalew,Dell,R620,,4PRWHX1,,Active,Biltmore Suite 500 Server Room,,CS,10,Front,LOM = 0.0.0.0
atom-lab-01,Server,Operations,Dell,R620,ProxMox VE 5.x,CW8PZ12,,Active,NAP Cage 1,,R2-01,26,Front,https://atom-lab-01.nap.pdrop.net:8006/
Avaya-G430,Server,,Avaya,G430,,G430 MP120,,Active,Biltmore Suite 500 Server Room,,QA,41,Front,Avaya G430
bizdev-proxmox-01,Server,,Dell,R630,,FNGY382,FNGY382,Active,NAP Cage 1,,R1-05,26,Front,LOM 10.141.8.91
blackduck-node-01,Server,,Dell,R620,,8WPXL02,8WPXL02,Active,NAP Cage 1,,R1-06,34,Front,LOM 10.141.8.78
buildlab-storage,Server,,Super Micro,4x3.5 Inch Bays (1U),,,,Active,NAP Cage 1,,R1-04,14,Front,
build-services,Server,,Dell,R620,,HHFPD42,HHFPD42,Active,NAP Cage 1,,R1-03,36,Front,LOM 10.141.1.221
build-services2 fds-r630-02,Server,,Dell,R630,,FNHY382,FNHY382,Active,NAP Cage 1,,R1-03,35,Front,LOM 10.141.1.202
build-services3 fds-r630-03,Server,,Dell,R620,,FNJ0482,FNJ0482,Active,NAP Cage 1,,R1-03,20,Front,LOM 10.141.1.203
build-services4 fds-r630-05,Server,,Dell,R620,,FNJ2482,FNJ2482,Active,NAP Cage 1,,R1-03,18,Front,LOM 10.141.1.205
cable management,Shelf / Cable Management,,Generic,Shelf-CableManagement,,,,Active,Equinix District of Columbia,Cage 005325,0103,33,Rear,
Cable Management,Shelf / Cable Management,,Generic,Shelf-CableManagement,,,,Active,Equinix District of Columbia,Cage 005325,0104,37,Rear,
cable management / shelf,Shelf / Cable Management,,Generic,Shelf-CableManagement,,,,Active,Equinix District of Columbia,Cage 005325,0103,38,Rear,
ccesxiops04,Server,,Dell,R630,,11B9482,11B9482,Active,NAP Cage 1,,R1-02,39,Front,LOM 10.141.8.51
CCESXIOPS02,Server,,Super Micro,8x3.5 Inch Bays (2U),,,,Active,NAP Cage 1,,R1-02,20,Front,
Cholima,Server,,Super Micro,5x3.5 Inch Bays (4U),,,,Active,Biltmore Suite 770 Server Room,,TelCo-Rack1,,,Tower Server located behind Telco Racks
Chollima,Server,,Super Micro,8x3.5 Inch Bays (2U),,,,Active,Biltmore Suite 770 Server Room,,TelCo-Rack3,,,"This is behind Telco rack 1 on Floor 7, in front of Airavat"
CMC-6ZKDRP2,Server,,Dell,FX2,,6ZKDRP2,6ZKDRP2,Active,NAP Cage 1,,R2-R5,22,Front,CMC IP: 10.141.0.71
CMC-6ZKFRP2,Server,,Dell,FX2,,6ZKFRP2,6ZKFRP2,Active,NAP Cage 1,,R2-R5,20,Front,CMC IP: 10.141.0.72
CQ97GB2,Server,,Dell,R630,,CQ97GB2,,Active,NAP Cage 1,,R2-01,,,
CQ9BGB2,Server,,Dell,R630,,CQ9BGB2,,Active,NAP Cage 1,,R2-01,,,
CS-184-08,Server,Buckalew,Dell,R620,,4XN8T52,,Active,Biltmore Suite 500 Server Room,,CS,18,Front,LOM = 10.20.11.52
CS-184-09,Server,Buckalew,Dell,R620,,6VJ4T52,,Active,Biltmore Suite 500 Server Room,,CS,17,Front,LOM = 10.20.11.53
CS-184-10,Server,Buckalew,Dell,R620,,4XP6T52,,Active,Biltmore Suite 500 Server Room,,CS,16,Front,LOM = 10.20.11.54
CS-Apcon,Server,,Apcon,ACI-3072-XR,,,,Active,Biltmore Suite 500 Server Room,,CS,40,Rear,
CS-ESA-02,Server,Buckalew,Dell,R320,,C5JTS52,,Active,Biltmore Suite 500 Server Room,,CS,30,Front,LOM = 10.20.10.34
CS-ESA-03,Server,Buckalew,Dell,R320,,C5JSS52,,Active,Biltmore Suite 500 Server Room,,CS,29,Front,LOM = 10.20.2.184
csis-pve-01,Server,,Dell,R620,,4XB8T52,4XB8T52,Active,NAP Cage 1,,R1-05,41,Front,LOM 10.141.0.137
csis-pve-02,Server,,Dell,R620,,4XC8T52,4XC8T52,Active,NAP Cage 1,,R1-05,40,Front,LOM: 10.141.8.82
csis-pve-03,Server,,Dell,R620,,4XB7T52,4XB7T52,Active,NAP Cage 1,,R1-05,39,Front,LOM: 10.141.0.138
csis-pve-04,Server,,Dell,R620,,6XJ0T52,6XJ0T52,Active,NAP Cage 1,,R1-05,38,Front,LOM: 10.141.8.83
CSIS-R330-01,Server,,Dell,R330,,BV0X482,BV0X482,Active,NAP Cage 1,,R1-07,26,Front,"LOM 10.141.8.60
ESA01"
CSIS-R620-02,Server,,Dell,R620,,8JTVD42,8JTVD42,Active,NAP Cage 1,,R1-07,27,Front,LOM 10.141.0.116
CSIS-R630-01,Server,,Dell,R630,,25PKT52,25PKT52,Active,NAP Cage 1,,R1-07,25,Front,"LOM 10.141.0.113
dev01"
cs-nas01,Server,,Dell,R730xd,,7CLMGK2,7CLMGK2,Active,NAP Cage 1,,R1-05,36,Front,LOM: 10.141.8.84
cs-support-lab-002-app-001,Server,Buckalew,Dell,R630,,6VH9T52,,Active,Biltmore Suite 500 Server Room,,CS,28,Front,LOM = 10.20.11.2
cs-support-lab-002-app-002,Server,,Dell,R620,,6VF6T52,,Active,Biltmore Suite 500 Server Room,,CS,23,Front,LOM = 10.20.11.6
cs-support-lab-002-int-002,Server,Buckalew,Dell,R630,,6VH5T52,,Active,Biltmore Suite 500 Server Room,,CS,26,Front,LOM = 10.20.11.3
cs-support-lab-002-int-03,Server,Buckalew,Dell,R620,,6VH7T52,,Active,Biltmore Suite 500 Server Room,,CS,32,Front,LOM = 10.20.11.45
cs-support-lab-002-pbr-001,Server,Buckalew,Dell,R630,,6VH6T52,,Active,Biltmore Suite 500 Server Room,,CS,25,Front,LOM = 10.20.11.4
cs-support-lab-002-pbr-002,Server,Buckalew,Dell,R630,,4XC7T52,,Active,Biltmore Suite 500 Server Room,,CS,31,Front,LOM = 10.20.11.44
cs-support-lab-003-fds-001,Server,Buckalew,Dell,R630,,6XH9T52,,Active,Biltmore Suite 500 Server Room,,CS,24,Front,LOM = 10.20.11.5
CS-TelcoBridges,Server,,TelcoBridges,2uTelcoBridges Device,,,,Active,Biltmore Suite 500 Server Room,,CS,36,Front,
CS-UPS-1,PDU,,APC,Smart-UPS 2200,,,,Active,Biltmore Suite 500 Server Room,,CS,1,Front,
CS-UPS-2,PDU,,APC,Smart-UPS 2200,,,,Active,Biltmore Suite 500 Server Room,,CS,3,Front,
CS-UPS-3,PDU,,APC,Smart-UPS 3000,,,,Active,Biltmore Suite 500 Server Room,,CS,5,Front,
CS-UPS-4,PDU,,APC,Smart-UPS 3000,,,,Active,Biltmore Suite 500 Server Room,,CS,7,Front,
DC3-460-0,Access Switch,,Extreme,X460-G2,,,,Active,Equinix District of Columbia,Cage 005325,0103,40,Rear,TOP
DC3-460-1,Access Switch,,Extreme,X460-G2,,,,Active,Equinix District of Columbia,Cage 005325,0103,39,Rear,
DC3-460-0-1 stacked,Access Switch,,Extreme,X460-G2,Linux,1726N-40548,,Active,Equinix District of Columbia,Cage 005325,0104,,Rear,
DC3-460-0-lab,Access Switch,,Extreme,X460-G2,,,,Active,Equinix District of Columbia,Cage 005325,0104,40,Rear,
DC3-460-1-lab,Access Switch,,Extreme,X460-G2,,,,Active,Equinix District of Columbia,Cage 005325,0104,39,Rear,
DC3-9540-0,Distribution Switch,,Brocade,SLX-9540-48S,Brocade-OS,,,Active,Equinix District of Columbia,Cage 005325,0103,42,Rear,
DC3-9540-1,Distribution Switch,,Brocade,SLX-9540-48S,Brocade-OS,,,Active,Equinix District of Columbia,Cage 005325,0103,41,Rear,
DC3 ATT AVPN 1,Router,Carrier Platform,Cisco,ASR 1001,Linux,,,Active,Equinix District of Columbia,Cage 005325,0103,25,Front,
DC3 ATT AVPN 2,Router,Carrier Platform,Cisco,ASR 1001,Linux,,,Active,Equinix District of Columbia,Cage 005325,0103,24,Front,
